Number of people who will provide maintenance,Loan History,Purpose of taking loan,loan amount taken,Guarantor or Debtor,Number of years of employment,Marital Status,Number of loans taken from current bank,Age of the applicant in Number of Years,amount in current account,amount in savings account,% of income paid as installment,Other loans plans taken,Working abroad or not,Is there telephone number available,time duration for loan,Owned property,Type of job performed,Type of Housing,Number of years of stay in current address,Loan Defaulted or not
1,no loans taken/all loans paid back duly,Purchase of furniture/equipment,2969,none,less than a year,female and divorced/seperated/married,2,25,between 0 and 200,less than 100,4,none,Yes,No,12,building society savings agreement/life insurance,skilled employee / official,rent,3,2
1,critical account/other loans existing (not at this bank),Education Loan,5743,none,less than a year,female and divorced/seperated/married,2,24,between 0 and 200,less than 100,2,none,Yes,Yes,24,No property,skilled employee / official,for free,4,1
2,delay in paying off loans in the past,Loan for business establishment,2375,none,between 1 and 4 years,male and single,2,44,no current account,between 500 and 1000,4,none,Yes,Yes,24,car or other property,skilled employee / official,own,2,1
1,existing loans paid back duly till now,Purchase of furniture/equipment,1747,co-applicant,less than a year,male and single,1,24,less than 0,less than 100,4,none,No,No,24,building society savings agreement/life insurance,unskilled - resident,own,1,1
1,delay in paying off loans in the past,Purchase of radio/television,4463,none,between 1 and 4 years,male and single,2,26,no current account,less than 100,4,none,Yes,Yes,36,car or other property,management/ self-employed/highly qualified employee/ officer,own,2,2
1,delay in paying off loans in the past,Purchase of furniture/equipment,1808,none,greater than 4 years,female and divorced/seperated/married,1,22,no current account,less than 100,4,none,Yes,No,18,Real Estate,skilled employee / official,own,1,2
1,existing loans paid back duly till now,Purchase of radio/television,1882,none,between 1 and 4 years,female and divorced/seperated/married,2,25,less than 0,less than 100,4,bank,Yes,No,18,car or other property,skilled employee / official,rent,4,2
1,existing loans paid back duly till now,Purchase of radio/television,745,none,between 1 and 4 years,female and divorced/seperated/married,1,28,greater than 200,less than 100,3,none,Yes,No,9,Real Estate,unskilled - resident,own,2,2
1,existing loans paid back duly till now,New Car Purchase,1223,none,,male and divorced/seperated,2,46,between 0 and 200,less than 100,1,none,Yes,No,12,Real Estate,skilled employee / official,rent,1,2
1,no loans taken/all loans paid back duly,Loan for business establishment,12204,none,between 1 and 4 years,male and single,1,48,between 0 and 200,no savings account,2,bank,Yes,Yes,48,car or other property,management/ self-employed/highly qualified employee/ officer,own,2,1
2,delay in paying off loans in the past,New Car Purchase,10875,none,,male and single,2,45,no current account,less than 100,2,none,Yes,Yes,36,car or other property,skilled employee / official,own,2,1
1,existing loans paid back duly till now,Purchase of radio/television,1473,none,less than a year,male and married/widowed,1,39,no current account,less than 100,3,none,Yes,Yes,18,Real Estate,skilled employee / official,own,4,1
1,existing loans paid back duly till now,Purchase of radio/television,2073,co-applicant,between 1 and 4 years,female and divorced/seperated/married,1,28,no current account,between 100 and 500,4,none,Yes,No,12,Real Estate,skilled employee / official,own,2,1
1,all loans at this bank paid back duly,,14782,none,,female and divorced/seperated/married,2,60,between 0 and 200,between 100 and 500,3,bank,Yes,Yes,60,No property,management/ self-employed/highly qualified employee/ officer,for free,4,2
1,existing loans paid back duly till now,Purchase of furniture/equipment,3062,none,,male and single,1,32,no current account,between 500 and 1000,4,none,Yes,Yes,24,No property,skilled employee / official,rent,3,1
1,delay in paying off loans in the past,Purchase of radio/television,15653,none,greater than 4 years,male and single,2,21,no current account,less than 100,2,none,Yes,Yes,60,car or other property,skilled employee / official,own,4,1
1,critical account/other loans existing (not at this bank),New Car Purchase,1255,none,,male and single,2,61,no current account,less than 100,4,none,Yes,No,12,Real Estate,unskilled - resident,own,4,1
1,existing loans paid back duly till now,Purchase of radio/television,3835,none,,female and divorced/seperated/married,1,45,no current account,no savings account,2,none,Yes,Yes,36,Real Estate,unskilled - resident,own,4,1
2,existing loans paid back duly till now,Purchase of radio/television,802,none,,male and single,1,37,between 0 and 200,less than 100,4,none,Yes,No,15,car or other property,skilled employee / official,own,3,2
2,existing loans paid back duly till now,New Car Purchase,1597,none,between 1 and 4 years,male and single,1,40,no current account,between 500 and 1000,3,none,No,No,10,No property,unskilled - resident,rent,2,1
